구분,자동차용경유,실내등유
2018년03월10일,776.65,740.74
2018년03월11일,776.78,740.32
2018년03월12일,776.66,740.97
2018년03월13일,776.77,740.56
2018년03월14일,776.73,740.71
2018년03월15일,776.30,740.49
2018년03월16일,776.29,739.86
2018년03월17일,776.09,740.45
2018년03월18일,776.20,740.69
2018년03월19일,776.03,740.02
2018년03월20일,775.83,739.48
2018년03월21일,775.46,740.23
2018년03월22일,775.02,740.06
2018년03월23일,774.74,740.54
2018년03월24일,774.47,740.67
2018년03월25일,774.56,740.56
2018년03월26일,774.54,740.88
2018년03월27일,774.39,740.56
2018년03월28일,773.90,740.21
2018년03월29일,773.93,740.59
2018년03월30일,773.97,741.05
2018년03월31일,774.10,739.42
2018년04월01일,774.48,738.92
2018년04월02일,774.65,738.62
2018년04월03일,774.64,738.83
